,postcode,easting,northing,Unnamed: 0,price,date,type,seconds,years
15284149,S118UL,433279,385516,17305781,182000,2011-07-01 00:00,T,1309474800.0,2011.0
15540383,S72GA,433234,383982,23638131,315000,2018-01-31 00:00,S,1517356800.0,2018.0
15614336,S89JE,435630,383987,16780841,137500,2010-05-07 00:00,S,1273186800.0,2010.0
15614569,S89NE,435628,383904,9663703,116000,2003-07-31 00:00,S,1059606000.0,2003.0
15605653,S80ZS,435138,385311,21380681,105000,2016-03-31 00:00,T,1459378800.0,2016.0
15615069,S89QE,435653,384424,14462743,132500,2007-11-09 00:00,T,1194566400.0,2007.0
15602936,S80HJ,434321,382848,6862587,66450,2001-02-16 00:00,S,982281600.0,2001.0
15612697,S89DA,434988,384044,21304487,180000,2016-02-19 00:00,D,1455840000.0,2016.0
15537844,S71NA,434482,385458,22383248,250000,2017-05-26 00:00,S,1495753200.0,2017.0
15539419,S72BN,433834,383704,20753738,187000,2015-02-27 00:00,F,1424995200.0,2015.0
15604843,S80RW,434724,383621,21260993,157000,2016-04-12 00:00,T,1460415600.0,2016.0
15281224,S118AA,434935,385777,11389797,129950,2005-12-12 00:00,F,1134345600.0,2005.0
15322163,S23BH,435903,385336,15178254,55000,2008-03-14 00:00,F,1205452800.0,2008.0
15285282,S119AF,433775,385471,9386941,95000,2003-11-28 00:00,F,1069977600.0,2003.0
15283394,S118SB,433239,385978,19852568,247500,2014-02-07 00:00,T,1391731200.0,2014.0
15538711,S71RY,434029,384816,22727214,550000,2017-07-06 00:00,D,1499295600.0,2017.0
15603407,S80ND,434280,383379,12460414,142500,2006-11-20 00:00,S,1163980800.0,2006.0
15284151,S118UL,433279,385516,18959784,200000,2013-10-07 00:00,T,1381100400.0,2013.0
15536157,S71BZ,434869,385361,12094555,97000,2005-04-08 00:00,T,1112914800.0,2005.0
15281335,S118AQ,434243,385672,21305785,105000,2016-11-21 00:00,F,1479686400.0,2016.0
15603212,S80JJ,434405,383112,8942904,85000,2003-04-14 00:00,S,1050274800.0,2003.0
15323025,S23HJ,435683,385168,9554528,66000,2003-01-08 00:00,T,1041984000.0,2003.0
15614139,S89HR,435761,384372,20596021,283000,2015-11-13 00:00,S,1447372800.0,2015.0
15604879,S80SA,434753,383456,12643701,90500,2006-06-21 00:00,T,1150844400.0,2006.0
15601606,S80BN,434342,382535,12857928,205000,2006-11-17 00:00,S,1163721600.0,2006.0
15537972,S71NL,434295,385363,12248329,320000,2005-09-28 00:00,S,1127862000.0,2005.0
15610288,S88LE,436522,382745,8461451,118000,2002-10-04 00:00,S,1033686000.0,2002.0
15536636,S71DW,434715,385115,14564837,149500,2007-03-28 00:00,T,1175036400.0,2007.0
15604352,S80PQ,434606,383386,19215772,128000,2014-10-13 00:00,T,1413154800.0,2014.0
15281549,S118BJ,434566,385849,23638866,151000,2018-03-12 00:00,T,1520812800.0,2018.0
15536160,S71BZ,434869,385361,17483503,114000,2011-09-22 00:00,T,1316646000.0,2011.0
15536295,S71DF,434779,385381,7457530,43800,2001-02-02 00:00,S,981072000.0,2001.0
15285988,S119DQ,433641,384945,12681476,290000,2006-08-14 00:00,T,1155510000.0,2006.0
15539557,S72BW,433802,384221,12277971,155000,2005-04-20 00:00,S,1113951600.0,2005.0
15323294,S23LA,436505,384751,7290043,35950,2001-06-07 00:00,T,991868400.0,2001.0
15285848,S119DA,433043,384790,6855872,139995,2001-01-31 00:00,S,980899200.0,2001.0
15322292,S23ED,435738,384978,24052178,115000,2018-10-11 00:00,S,1539212400.0,2018.0
15322476,S23GL,435840,385282,17184075,63000,2011-03-18 00:00,T,1300406400.0,2011.0
15536260,S71DE,434800,385456,8303985,58500,2002-03-27 00:00,T,1017187200.0,2002.0
15538069,S71NT,433926,385425,13513833,229950,2006-05-03 00:00,F,1146610800.0,2006.0
15614627,S89NF,435840,383891,22949530,175000,2017-03-06 00:00,S,1488758400.0,2017.0
15325180,S24NT,434923,385802,24237679,145000,2019-03-04 00:00,T,1551657600.0,2019.0
15540175,S72EG,433652,384132,15335469,208000,2008-07-28 00:00,S,1217199600.0,2008.0
15605974,S87BH,434040,382007,23942400,460000,2018-11-29 00:00,D,1543449600.0,2018.0
15611080,S88QH,434933,382895,9429570,88100,2003-05-09 00:00,T,1052434800.0,2003.0
15605191,S80UP,434370,384232,10226510,98500,2004-01-27 00:00,T,1075161600.0,2004.0
15305618,S141JD,436823,383666,9523694,35000,2003-09-29 00:00,T,1064790000.0,2003.0
15537179,S71GW,434314,384808,8501458,127000,2002-08-13 00:00,S,1029193200.0,2002.0
